scenario_id,scenario_class,scenario_name,direction,severity,caliber,factor,factor_cn,contribution_pct,share_pct
H3,历史,2025 关税冲击,利率+信用+汇率,-,次,fx_ret_pct,人民币兑美元汇率,-0.3811,24.91
H3,历史,2025 关税冲击,利率+信用+汇率,-,次,residual,未解释残差（信用维度）,0.62,40.52
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,主,d5y_bp,5年期美债收益率,0.1003,23.9
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,主,d10y_bp,10年期美债收益率,0.2637,62.85
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,主,doas_bp,新兴市场IG信用利差,0.0,0.0
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,主,residual,未解释残差（信用维度）,-0.0556,13.25
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,次,d5y_bp,5年期美债收益率,0.1003,8.03
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,次,d10y_bp,10年期美债收益率,0.2637,21.11
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,次,doas_bp,新兴市场IG信用利差,0.0,0.0
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,次,fx_ret_pct,人民币兑美元汇率,0.8298,66.41
X1,补充,2022 离岸人民币贬值(补充),汇率贬值,-,次,residual,未解释残差（信用维度）,-0.0556,4.45
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,主,d5y_bp,5年期美债收益率,0.108,10.44
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,主,d10y_bp,10年期美债收益率,0.4102,39.64
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,主,doas_bp,新兴市场IG信用利差,0.0,0.0
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,主,residual,未解释残差（信用维度）,0.5167,49.92
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,次,d5y_bp,5年期美债收益率,0.0694,10.87
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,次,d10y_bp,10年期美债收益率,0.2344,36.7
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,次,doas_bp,新兴市场IG信用利差,0.0,0.0
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,次,fx_ret_pct,人民币兑美元汇率,0.0253,3.96
X2,补充,2022 俄乌与加息周期开启(补充),利率上行,-,次,residual,未解释残差（信用维度）,0.3096,48.47
S01,假设,利率上行·轻度,利率上行,轻度,主,d5y_bp,5年期美债收益率,0.2391,22.57
S01,假设,利率上行·轻度,利率上行,轻度,主,d10y_bp,10年期美债收益率,0.8205,77.43
S01,假设,利率上行·轻度,利率上行,轻度,主,doas_bp,新兴市场IG信用利差,0.0,0.0
S01,假设,利率上行·轻度,利率上行,轻度,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S01,假设,利率上行·轻度,利率上行,轻度,主,residual,未解释残差（信用维度）,0.0,0.0
S01,假设,利率上行·轻度,利率上行,轻度,次,d5y_bp,5年期美债收益率,0.2391,22.57
S01,假设,利率上行·轻度,利率上行,轻度,次,d10y_bp,10年期美债收益率,0.8205,77.43
S01,假设,利率上行·轻度,利率上行,轻度,次,doas_bp,新兴市场IG信用利差,0.0,0.0
S01,假设,利率上行·轻度,利率上行,轻度,次,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S01,假设,利率上行·轻度,利率上行,轻度,次,residual,未解释残差（信用维度）,0.0,0.0
S02,假设,利率上行·中度,利率上行,中度,主,d5y_bp,5年期美债收益率,0.3587,22.57
S02,假设,利率上行·中度,利率上行,中度,主,d10y_bp,10年期美债收益率,1.2307,77.43
S02,假设,利率上行·中度,利率上行,中度,主,doas_bp,新兴市场IG信用利差,0.0,0.0
S02,假设,利率上行·中度,利率上行,中度,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S02,假设,利率上行·中度,利率上行,中度,主,residual,未解释残差（信用维度）,0.0,0.0
S02,假设,利率上行·中度,利率上行,中度,次,d5y_bp,5年期美债收益率,0.3587,22.57
S02,假设,利率上行·中度,利率上行,中度,次,d10y_bp,10年期美债收益率,1.2307,77.43
S02,假设,利率上行·中度,利率上行,中度,次,doas_bp,新兴市场IG信用利差,0.0,0.0
S02,假设,利率上行·中度,利率上行,中度,次,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S02,假设,利率上行·中度,利率上行,中度,次,residual,未解释残差（信用维度）,0.0,0.0
S03,假设,利率上行·极端,利率上行,极端,主,d5y_bp,5年期美债收益率,0.4783,22.57
S03,假设,利率上行·极端,利率上行,极端,主,d10y_bp,10年期美债收益率,1.641,77.43
S03,假设,利率上行·极端,利率上行,极端,主,doas_bp,新兴市场IG信用利差,0.0,0.0
S03,假设,利率上行·极端,利率上行,极端,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S03,假设,利率上行·极端,利率上行,极端,主,residual,未解释残差（信用维度）,0.0,0.0
S03,假设,利率上行·极端,利率上行,极端,次,d5y_bp,5年期美债收益率,0.4783,22.57
S03,假设,利率上行·极端,利率上行,极端,次,d10y_bp,10年期美债收益率,1.641,77.43
S03,假设,利率上行·极端,利率上行,极端,次,doas_bp,新兴市场IG信用利差,0.0,0.0
S03,假设,利率上行·极端,利率上行,极端,次,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S03,假设,利率上行·极端,利率上行,极端,次,residual,未解释残差（信用维度）,0.0,0.0
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,主,d5y_bp,5年期美债收益率,0.0,0.0
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,主,d10y_bp,10年期美债收益率,0.0,0.0
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,主,doas_bp,新兴市场IG信用利差,0.2085,100.0
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,主,residual,未解释残差（信用维度）,0.0,0.0
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,次,d5y_bp,5年期美债收益率,0.0,0.0
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,次,d10y_bp,10年期美债收益率,0.0,0.0
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,次,doas_bp,新兴市场IG信用利差,0.2085,100.0
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,次,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S04,假设,信用利差走阔·轻度,信用利差走阔,轻度,次,residual,未解释残差（信用维度）,0.0,0.0
S05,假设,信用利差走阔·中度,信用利差走阔,中度,主,d5y_bp,5年期美债收益率,0.0,0.0
S05,假设,信用利差走阔·中度,信用利差走阔,中度,主,d10y_bp,10年期美债收益率,0.0,0.0
S05,假设,信用利差走阔·中度,信用利差走阔,中度,主,doas_bp,新兴市场IG信用利差,0.3128,100.0
S05,假设,信用利差走阔·中度,信用利差走阔,中度,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S05,假设,信用利差走阔·中度,信用利差走阔,中度,主,residual,未解释残差（信用维度）,0.0,0.0
S05,假设,信用利差走阔·中度,信用利差走阔,中度,次,d5y_bp,5年期美债收益率,0.0,0.0
S05,假设,信用利差走阔·中度,信用利差走阔,中度,次,d10y_bp,10年期美债收益率,0.0,0.0
S05,假设,信用利差走阔·中度,信用利差走阔,中度,次,doas_bp,新兴市场IG信用利差,0.3128,100.0
S05,假设,信用利差走阔·中度,信用利差走阔,中度,次,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S05,假设,信用利差走阔·中度,信用利差走阔,中度,次,residual,未解释残差（信用维度）,0.0,0.0
S06,假设,信用利差走阔·极端,信用利差走阔,极端,主,d5y_bp,5年期美债收益率,0.0,0.0
S06,假设,信用利差走阔·极端,信用利差走阔,极端,主,d10y_bp,10年期美债收益率,0.0,0.0
S06,假设,信用利差走阔·极端,信用利差走阔,极端,主,doas_bp,新兴市场IG信用利差,0.4171,100.0
S06,假设,信用利差走阔·极端,信用利差走阔,极端,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S06,假设,信用利差走阔·极端,信用利差走阔,极端,主,residual,未解释残差（信用维度）,0.0,0.0
S06,假设,信用利差走阔·极端,信用利差走阔,极端,次,d5y_bp,5年期美债收益率,0.0,0.0
S06,假设,信用利差走阔·极端,信用利差走阔,极端,次,d10y_bp,10年期美债收益率,0.0,0.0
S06,假设,信用利差走阔·极端,信用利差走阔,极端,次,doas_bp,新兴市场IG信用利差,0.4171,100.0
S06,假设,信用利差走阔·极端,信用利差走阔,极端,次,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S06,假设,信用利差走阔·极端,信用利差走阔,极端,次,residual,未解释残差（信用维度）,0.0,0.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,主,d5y_bp,5年期美债收益率,0.0,0.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,主,d10y_bp,10年期美债收益率,0.0,0.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,主,doas_bp,新兴市场IG信用利差,0.0,0.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,主,residual,未解释残差（信用维度）,0.0,0.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,次,d5y_bp,5年期美债收益率,0.0,0.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,次,d10y_bp,10年期美债收益率,0.0,0.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,次,doas_bp,新兴市场IG信用利差,0.0,0.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,次,fx_ret_pct,人民币兑美元汇率,1.5854,100.0
S07,假设,离岸汇率贬值·轻度,离岸汇率贬值,轻度,次,residual,未解释残差（信用维度）,0.0,0.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,主,d5y_bp,5年期美债收益率,0.0,0.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,主,d10y_bp,10年期美债收益率,0.0,0.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,主,doas_bp,新兴市场IG信用利差,0.0,0.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,主,residual,未解释残差（信用维度）,0.0,0.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,次,d5y_bp,5年期美债收益率,0.0,0.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,次,d10y_bp,10年期美债收益率,0.0,0.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,次,doas_bp,新兴市场IG信用利差,0.0,0.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,次,fx_ret_pct,人民币兑美元汇率,2.3781,100.0
S08,假设,离岸汇率贬值·中度,离岸汇率贬值,中度,次,residual,未解释残差（信用维度）,0.0,0.0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,主,d5y_bp,5年期美债收益率,0.0,0.0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,主,d10y_bp,10年期美债收益率,0.0,0.0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,主,doas_bp,新兴市场IG信用利差,0.0,0.0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,主,residual,未解释残差（信用维度）,0.0,0.0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,次,d5y_bp,5年期美债收益率,0.0,0.0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,次,d10y_bp,10年期美债收益率,0.0,0.0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,次,doas_bp,新兴市场IG信用利差,0.0,0.0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,次,fx_ret_pct,人民币兑美元汇率,3.1708,100.0
S09,假设,离岸汇率贬值·极端,离岸汇率贬值,极端,次,residual,未解释残差（信用维度）,0.0,0.0
S10,假设,利率+信用同时恶化·极端,组合,极端,主,d5y_bp,5年期美债收益率,0.4783,18.86
S10,假设,利率+信用同时恶化·极端,组合,极端,主,d10y_bp,10年期美债收益率,1.641,64.7
S10,假设,利率+信用同时恶化·极端,组合,极端,主,doas_bp,新兴市场IG信用利差,0.4171,16.44
S10,假设,利率+信用同时恶化·极端,组合,极端,主,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S10,假设,利率+信用同时恶化·极端,组合,极端,主,residual,未解释残差（信用维度）,0.0,0.0
S10,假设,利率+信用同时恶化·极端,组合,极端,次,d5y_bp,5年期美债收益率,0.4783,18.86
S10,假设,利率+信用同时恶化·极端,组合,极端,次,d10y_bp,10年期美债收益率,1.641,64.7
S10,假设,利率+信用同时恶化·极端,组合,极端,次,doas_bp,新兴市场IG信用利差,0.4171,16.44
S10,假设,利率+信用同时恶化·极端,组合,极端,次,fx_ret_pct,人民币兑美元汇率,0.0,0.0
S10,假设,利率+信用同时恶化·极端,组合,极端,次,residual,未解释残差（信用维度）,0.0,0.0
